"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Price_L","Value_metric"
"1","EUROPE","CZECH REPUBLIC","BARON BOHEMIAN TMAVY LEZAK","LAGER","DUNKEL",NA,3.18,4.7,2.28,4.56,0.697368421052632
"2","EUROPE","BELGIUM","STELLA ARTOIS CAN","LAGER","PILSNER",NA,2.49,5.2,13.29,6.71,0.37097065462754
"3","CANADA","CANADA","PACIFIC WESTERN - CARIBOO HONEY LAGER CAN","LAGER","PALE LAGER",NA,2.9,5.5,7.99,3.75,0.773091364205256
"4","CANADA","CANADA","STANLEY PARK - BELGIAN STYLE PILSNER","LAGER","PILSNER",NA,3.29,5,12.5,6.31,0.521136
"5","EUROPE","BELGIUM","CARACOLE NOSTRADAMUS BRUNE","DARK ALE","BELGIAN STRONG",NA,3.62,9.5,3.7,11.21,0.322864864864865
"6","CANADA","CANADA","STROH CANADA - PABST BLUE RIBBON CAN","LAGER","AMERICAN ADJUNCT","10",2.79,4.9,7.99,3.75,0.743767209011264
"7","OTHER AMERICAS","JAMAICA","RED STRIPE","LAGER","AMERICAN ADJUNCT","23",3.08,5,12.49,6.31,0.48826261008807
"8","EUROPE","NETHERLANDS","HEINEKEN LAGER","LAGER","PALE LAGER","19",2.92,5,12.99,6.56,0.445080831408776
"9","CANADA","CANADA","VANCOUVER ISLAND - FLYING TANKER WHITE IPA","IPA","BELGIAN IPA","75",3.51,6.7,5.5,8.46,0.414818181818182
"10","CANADA","CANADA","PACIFIC WESTERN - PACIFIC PILSNER CAN","LAGER","PILSNER",NA,2.7,5,31.79,3.73,0.723623781063227
"11","CANADA","CANADA","BRAVA - CAN","LAGER","AMERICAN ADJUNCT",NA,2.59,5.5,20.39,3.83,0.676397743992153
"12","ASIA","CHINA","YANJING","LAGER","AMERICAN ADJUNCT","18",2.6,4.5,10,5.05,0.5148
"13","OTHER AMERICAS","MEXICO","PACIFICO CLARA","LAGER","AMERICAN ADJUNCT","15",3.12,4.6,13.29,6.24,0.500045146726862
"14","USA","UNITED STATES OF AMERICA","GIGANTIC BREWING - IPA","IPA","AMERICAN IPA","85",3.79,7.3,6.79,10.45,0.362812960235641
"15","USA","UNITED STATES OF AMERICA","MILLER GENUINE DRAFT","LAGER","AMERICAN ADJUNCT","12",2.49,4.7,32.49,5.08,0.489722991689751
"16","CANADA","CANADA","HELL'S GATE - LAGER CAN","LAGER","PALE LAGER",NA,2.81,5,7.99,3.75,0.74909887359199
"17","EUROPE","BELGIUM","LEFFE BLONDE","PALE ALE","BELGIAN BLONDE ALE","20",3.59,6.6,15.99,8.08,0.444540337711069
"18","OTHER AMERICAS","TRINIDAD AND TOBAGO","CARIB LAGER","LAGER","AMERICAN ADJUNCT",NA,2.93,5.2,12.25,6.19,0.473583673469388
"19","EUROPE","POLAND","ZYWIEC","LAGER","PALE LAGER","24",3.1,5.7,2.69,5.38,0.576208178438662
"20","EUROPE","CZECH REPUBLIC","PILSNER URQUELL","LAGER","PILSNER","40",3.35,4.4,13.99,7.07,0.474124374553252
"21","CANADA","CANADA","PROHIBITION - LAWLESS IPA","IPA","AMERICAN IPA","60",3.36,6.5,5.5,8.46,0.397090909090909
"22","CANADA","CANADA","STANLEY PARK - BELGIAN STYLE AMBER","RED ALE","AMERICAN AMBER","15",3.38,5.1,12.5,6.31,0.535392
"23","CANADA","CANADA","SLEEMAN - ORIGINAL DRAUGHT CAN","LAGER","PALE LAGER",NA,3.07,5,12.49,4.4,0.698062449959968
"24","OTHER AMERICAS","MEXICO","CORONA EXTRA","LAGER","AMERICAN ADJUNCT","19",3.06,4.6,25.49,6.44,0.475386426049431
"25","EUROPE","ITALY","PERONI NASTRO AZZURRO","LAGER","PALE LAGER",NA,3.14,5.2,14.25,7.2,0.436294736842105
"26","CANADA","CANADA","STEAM WHISTLE - PILSNER","LAGER","PILSNER","22",3.44,5,13.25,6.48,0.531187924528302
"27","CANADA","CANADA","BLACK KETTLE BREWING - PALE ALE","PALE ALE","ENGLISH PALE ALE",NA,3.38,5.4,5.25,8.08,0.418476190476191
"28","USA","UNITED STATES OF AMERICA","SAMUEL ADAMS OCTOBERFEST","LAGER","MARZEN","16",3.6,5.5,12.99,6.1,0.590300230946882
"29","CANADA","CANADA","SLEEMAN - HONEY BROWN LAGER CAN","LAGER","AMERICAN AMBER LAGER",NA,3.26,5.3,12.99,6.1,0.534549653579677
"30","CANADA","CANADA","LABATT - BUD LIGHT CAN","LAGER","AMERICAN LIGHT LAGER","27",2.27,4,22.99,4.32,0.525782949108308
"31","CANADA","CANADA","TIN WHISTLE - KILLER BEE DARK HONEY PORTER","PORTER","AMERICAN PORTER","15",3.6,6,5.25,8.08,0.445714285714286
"32","CANADA","CANADA","LABATT - BUDWEISER CAN","LAGER","AMERICAN ADJUNCT","12",2.54,5,14.29,5.03,0.50480055983205
"33","CANADA","CANADA","PROPELLER - EXTRA SPECIAL BITTER","PALE ALE","ESB","30",3.64,5,13.17,6.44,0.565485193621868
"34","CANADA","CANADA","MT BEGBIE - BEGBIE CREAM ALE","HYBRID","CREAM ALE","12",3.5,4.5,4.75,7.31,0.478947368421053
"35","CANADA","CANADA","BOMBER BREWING - ESB CANS","PALE ALE","ESB",NA,3.42,5.2,11.5,5.4,0.63344347826087
"36","CANADA","CANADA","PHILLIPS - BLUE BUCK ALE","PALE ALE","ENGLISH PALE ALE",NA,3.52,5,11.99,5.86,0.600660550458716
