"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Volume_Per_Container","Bottles_Per_Unit","Total_vol","Price_L","Value_metric"
"1","EUROPE","CZECH REPUBLIC","BARON BOHEMIAN TMAVY LEZAK","LAGER","DUNKEL",NA,3.18,4.7,2.28,0.5,1,0.5,4.56,0.697368421052632
"2","EUROPE","BELGIUM","STELLA ARTOIS CAN","LAGER","PILSNER",NA,2.49,5.2,13.29,0.33,6,1.98,6.71,0.37097065462754
"3","CANADA","CANADA","PACIFIC WESTERN - CARIBOO HONEY LAGER CAN","LAGER","PALE LAGER",NA,2.9,5.5,7.99,0.355,6,2.13,3.75,0.773091364205256
"4","CANADA","CANADA","STANLEY PARK - BELGIAN STYLE PILSNER","LAGER","PILSNER",NA,3.29,5,12.5,0.33,6,1.98,6.31,0.521136
"5","EUROPE","BELGIUM","CARACOLE NOSTRADAMUS BRUNE","DARK ALE","BELGIAN STRONG",NA,3.62,9.5,3.7,0.33,1,0.33,11.21,0.322864864864865
"6","CANADA","CANADA","STROH CANADA - PABST BLUE RIBBON CAN","LAGER","AMERICAN ADJUNCT","10",2.79,4.9,7.99,0.355,6,2.13,3.75,0.743767209011264
"7","OTHER AMERICAS","JAMAICA","RED STRIPE","LAGER","AMERICAN ADJUNCT","23",3.08,5,12.49,0.33,6,1.98,6.31,0.48826261008807
"8","EUROPE","NETHERLANDS","HEINEKEN LAGER","LAGER","PALE LAGER","19",2.92,5,12.99,0.33,6,1.98,6.56,0.445080831408776
"9","CANADA","CANADA","VANCOUVER ISLAND - FLYING TANKER WHITE IPA","IPA","BELGIAN IPA","75",3.51,6.7,5.5,0.65,1,0.65,8.46,0.414818181818182
"10","CANADA","CANADA","PACIFIC WESTERN - PACIFIC PILSNER CAN","LAGER","PILSNER",NA,2.7,5,31.79,0.355,24,8.52,3.73,0.723623781063227
"11","CANADA","CANADA","BRAVA - CAN","LAGER","AMERICAN ADJUNCT",NA,2.59,5.5,20.39,0.355,15,5.325,3.83,0.676397743992153
"12","ASIA","CHINA","YANJING","LAGER","AMERICAN ADJUNCT","18",2.6,4.5,10,0.33,6,1.98,5.05,0.5148
"13","OTHER AMERICAS","MEXICO","PACIFICO CLARA","LAGER","AMERICAN ADJUNCT","15",3.12,4.6,13.29,0.355,6,2.13,6.24,0.500045146726862
"14","USA","UNITED STATES OF AMERICA","GIGANTIC BREWING - IPA","IPA","AMERICAN IPA","85",3.79,7.3,6.79,0.65,1,0.65,10.45,0.362812960235641
"15","USA","UNITED STATES OF AMERICA","MILLER GENUINE DRAFT","LAGER","AMERICAN ADJUNCT","12",2.49,4.7,32.49,0.355,18,6.39,5.08,0.489722991689751
"16","CANADA","CANADA","HELL'S GATE - LAGER CAN","LAGER","PALE LAGER",NA,2.81,5,7.99,0.355,6,2.13,3.75,0.74909887359199
"17","EUROPE","BELGIUM","LEFFE BLONDE","PALE ALE","BELGIAN BLONDE ALE","20",3.59,6.6,15.99,0.33,6,1.98,8.08,0.444540337711069
"18","OTHER AMERICAS","TRINIDAD AND TOBAGO","CARIB LAGER","LAGER","AMERICAN ADJUNCT",NA,2.93,5.2,12.25,0.33,6,1.98,6.19,0.473583673469388
"19","EUROPE","POLAND","ZYWIEC","LAGER","PALE LAGER","24",3.1,5.7,2.69,0.5,1,0.5,5.38,0.576208178438662
"20","EUROPE","CZECH REPUBLIC","PILSNER URQUELL","LAGER","PILSNER","40",3.35,4.4,13.99,0.33,6,1.98,7.07,0.474124374553252
"21","CANADA","CANADA","PROHIBITION - LAWLESS IPA","IPA","AMERICAN IPA","60",3.36,6.5,5.5,0.65,1,0.65,8.46,0.397090909090909
"22","CANADA","CANADA","STANLEY PARK - BELGIAN STYLE AMBER","RED ALE","AMERICAN AMBER","15",3.38,5.1,12.5,0.33,6,1.98,6.31,0.535392
