Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
EUROPE,CZECH REPUBLIC,BARON BOHEMIAN TMAVY LEZAK,LAGER,DUNKEL,NA,3.18,4.7,2.28,0.5,1
EUROPE,BELGIUM,STELLA ARTOIS CAN,LAGER,PILSNER,NA,2.49,5.2,13.29,0.33,6
CANADA,CANADA,PACIFIC WESTERN - CARIBOO HONEY LAGER CAN,LAGER,PALE LAGER,NA,2.9,5.5,7.99,0.355,6
CANADA,CANADA,STANLEY PARK - BELGIAN STYLE PILSNER,LAGER,PILSNER,NA,3.29,5,12.5,0.33,6
EUROPE,BELGIUM,CARACOLE NOSTRADAMUS BRUNE,DARK ALE,BELGIAN STRONG,NA,3.62,9.5,3.7,0.33,1
CANADA,CANADA,STROH CANADA - PABST BLUE RIBBON CAN,LAGER,AMERICAN ADJUNCT,10,2.79,4.9,7.99,0.355,6
OTHER AMERICAS,JAMAICA,RED STRIPE,LAGER,AMERICAN ADJUNCT,23,3.08,5,12.49,0.33,6
EUROPE,NETHERLANDS,HEINEKEN LAGER,LAGER,PALE LAGER,19,2.92,5,12.99,0.33,6
CANADA,CANADA,VANCOUVER ISLAND - FLYING TANKER WHITE IPA,IPA,BELGIAN IPA,75,3.51,6.7,5.5,0.65,1
CANADA,CANADA,PACIFIC WESTERN - PACIFIC PILSNER CAN,LAGER,PILSNER,NA,2.7,5,31.79,0.355,24
CANADA,CANADA,BRAVA - CAN,LAGER,AMERICAN ADJUNCT,NA,2.59,5.5,20.39,0.355,15
ASIA,CHINA,YANJING,LAGER,AMERICAN ADJUNCT,18,2.6,4.5,10,0.33,6
OTHER AMERICAS,MEXICO,PACIFICO CLARA,LAGER,AMERICAN ADJUNCT,15,3.12,4.6,13.29,0.355,6
USA,UNITED STATES OF AMERICA,GIGANTIC BREWING - IPA,IPA,AMERICAN IPA,85,3.79,7.3,6.79,0.65,1
USA,UNITED STATES OF AMERICA,MILLER GENUINE DRAFT,LAGER,AMERICAN ADJUNCT,12,2.49,4.7,32.49,0.355,18
CANADA,CANADA,HELL'S GATE - LAGER CAN,LAGER,PALE LAGER,NA,2.81,5,7.99,0.355,6
EUROPE,BELGIUM,LEFFE BLONDE,PALE ALE,BELGIAN BLONDE ALE,20,3.59,6.6,15.99,0.33,6
OTHER AMERICAS,TRINIDAD AND TOBAGO,CARIB LAGER,LAGER,AMERICAN ADJUNCT,NA,2.93,5.2,12.25,0.33,6
EUROPE,POLAND,ZYWIEC,LAGER,PALE LAGER,24,3.1,5.7,2.69,0.5,1
EUROPE,CZECH REPUBLIC,PILSNER URQUELL,LAGER,PILSNER,40,3.35,4.4,13.99,0.33,6
CANADA,CANADA,PROHIBITION - LAWLESS IPA,IPA,AMERICAN IPA,60,3.36,6.5,5.5,0.65,1
CANADA,CANADA,STANLEY PARK - BELGIAN STYLE AMBER,RED ALE,AMERICAN AMBER,15,3.38,5.1,12.5,0.33,6
CANADA,CANADA,SLEEMAN - ORIGINAL DRAUGHT CAN,LAGER,PALE LAGER,NA,3.07,5,12.49,0.355,8
OTHER AMERICAS,MEXICO,CORONA EXTRA,LAGER,AMERICAN ADJUNCT,19,3.06,4.6,25.49,0.33,12
EUROPE,ITALY,PERONI NASTRO AZZURRO,LAGER,PALE LAGER,NA,3.14,5.2,14.25,0.33,6
CANADA,CANADA,STEAM WHISTLE - PILSNER,LAGER,PILSNER,22,3.44,5,13.25,0.341,6
CANADA,CANADA,BLACK KETTLE BREWING - PALE ALE,PALE ALE,ENGLISH PALE ALE,NA,3.38,5.4,5.25,0.65,1
USA,UNITED STATES OF AMERICA,SAMUEL ADAMS OCTOBERFEST,LAGER,MARZEN,16,3.6,5.5,12.99,0.355,6
CANADA,CANADA,SLEEMAN - HONEY BROWN LAGER CAN,LAGER,AMERICAN AMBER LAGER,NA,3.26,5.3,12.99,0.355,6
CANADA,CANADA,LABATT - BUD LIGHT CAN,LAGER,AMERICAN LIGHT LAGER,27,2.27,4,22.99,0.355,15
CANADA,CANADA,TIN WHISTLE - KILLER BEE DARK HONEY PORTER,PORTER,AMERICAN PORTER,15,3.6,6,5.25,0.65,1
CANADA,CANADA,LABATT - BUDWEISER CAN,LAGER,AMERICAN ADJUNCT,12,2.54,5,14.29,0.355,8
CANADA,CANADA,PROPELLER - EXTRA SPECIAL BITTER,PALE ALE,ESB,30,3.64,5,13.17,0.341,6
CANADA,CANADA,MT BEGBIE - BEGBIE CREAM ALE,HYBRID,CREAM ALE,12,3.5,4.5,4.75,0.65,1
CANADA,CANADA,BOMBER BREWING - ESB CANS,PALE ALE,ESB,NA,3.42,5.2,11.5,0.355,6
CANADA,CANADA,PHILLIPS - BLUE BUCK ALE,PALE ALE,ENGLISH PALE ALE,NA,3.52,5,11.99,0.341,6
