"","Year","variable","value"
"1",1994,"Regional_Breweries",16
"2",1995,"Regional_Breweries",24
"3",1996,"Regional_Breweries",29
"4",1997,"Regional_Breweries",31
"5",1998,"Regional_Breweries",32
"6",1999,"Regional_Breweries",36
"7",2000,"Regional_Breweries",36
"8",2001,"Regional_Breweries",39
"9",2002,"Regional_Breweries",40
"10",2003,"Regional_Breweries",43
"11",2004,"Regional_Breweries",46
"12",2005,"Regional_Breweries",49
"13",2006,"Regional_Breweries",50
"14",2007,"Regional_Breweries",55
"15",2008,"Regional_Breweries",62
"16",2009,"Regional_Breweries",71
"17",2010,"Regional_Breweries",81
"18",2011,"Regional_Breweries",88
"19",2012,"Regional_Breweries",97
"20",2013,"Regional_Breweries",119
"21",2014,"Regional_Breweries",135
"22",2015,"Regional_Breweries",178
"23",2016,"Regional_Breweries",186
"24",2017,"Regional_Breweries",202
"25",1994,"Microbreweries",192
"26",1995,"Microbreweries",273
"27",1996,"Microbreweries",365
"28",1997,"Microbreweries",403
"29",1998,"Microbreweries",420
"30",1999,"Microbreweries",418
"31",2000,"Microbreweries",405
"32",2001,"Microbreweries",392
"33",2002,"Microbreweries",377
"34",2003,"Microbreweries",376
"35",2004,"Microbreweries",362
"36",2005,"Microbreweries",354
"37",2006,"Microbreweries",370
"38",2007,"Microbreweries",422
"39",2008,"Microbreweries",450
"40",2009,"Microbreweries",505
"41",2010,"Microbreweries",620
"42",2011,"Microbreweries",843
"43",2012,"Microbreweries",1143
"44",2013,"Microbreweries",1471
"45",2014,"Microbreweries",2076
"46",2015,"Microbreweries",2626
"47",2016,"Microbreweries",3196
"48",2017,"Microbreweries",3812
"49",1994,"Brewpubs",329
"50",1995,"Brewpubs",497
"51",1996,"Brewpubs",693
"52",1997,"Brewpubs",900
"53",1998,"Brewpubs",1001
"54",1999,"Brewpubs",1052
"55",2000,"Brewpubs",1068
"56",2001,"Brewpubs",1056
"57",2002,"Brewpubs",1040
"58",2003,"Brewpubs",1011
"59",2004,"Brewpubs",1005
"60",2005,"Brewpubs",991
"61",2006,"Brewpubs",989
"62",2007,"Brewpubs",982
"63",2008,"Brewpubs",1009
"64",2009,"Brewpubs",1020
"65",2010,"Brewpubs",1053
"66",2011,"Brewpubs",1085
"67",2012,"Brewpubs",1180
"68",2013,"Brewpubs",1308
"69",2014,"Brewpubs",1528
"70",2015,"Brewpubs",1740
"71",2016,"Brewpubs",2042
"72",2017,"Brewpubs",2252
