"","State","Employment_FTEs","Labor_income","Avg_wage","Economic_impact","Impact_per_21adult","state"
"1","Alabama",4041,187696000,46445,740495000,206.32,"alabama"
"2","Alaska",1652,76844000,46502,307739000,584.04,"alaska"
"3","Arizona",7982,361639000,45307,1058553000,207.43,"arizona"
"4","Arkansas",2627,116573000,44372,476972000,218.76,"arkansas"
"5","California",54028,3070860000,56839,8245936000,285.07,"california"
"6","Colorado",22411,1123062000,50111,3158383000,764.2,"colorado"
"7","Connecticut",4647,271339000,58385,745747000,277.06,"connecticut"
"8","Delaware",2101,98912000,47080,361398000,501.53,"delaware"
"9","DC",1412,99750000,70646,214234000,394.38,"dc"
"10","Florida",26030,1109195000,42612,3563091000,221.65,"florida"
"11","Georgia",11077,489208000,44164,1696100000,226.39,"georgia"
"12","Hawaii",2134,91562000,42901,276643000,257.32,"hawaii"
"13","Idaho",2577,115215000,44710,372821000,309.63,"idaho"
"14","Illinois",19664,1014442000,51588,3127229000,332.54,"illinois"
"15","Indiana",9738,449789000,46188,1622305000,336.57,"indiana"
"16","Iowa",6137,263615000,42956,997970000,437.45,"iowa"
"17","Kansas",3337,144990000,43452,509255000,244.78,"kansas"
"18","Kentucky",4487,193199000,43059,764038000,233.55,"kentucky"
"19","Louisiana",4108,202485000,49288,885150000,260.46,"louisiana"
"20","Maine",4943,198437000,40142,613074000,592.89,"maine"
"21","Maryland",5861,305029000,52041,910567000,203.56,"maryland"
"22","Massachusetts",18202,986469000,54197,2220868000,427.15,"massachusetts"
"23","Michigan",17888,772141000,43165,2482858000,336.27,"michigan"
"24","Minnesota",13645,672615000,49295,2066686000,508.27,"minnesota"
"25","Mississippi",1832,71913000,39260,312106000,145.41,"mississippi"
"26","Missouri",8148,357937000,43931,1234691000,274.72,"missouri"
"27","Montana",2732,110650000,40500,441943000,564.37,"montana"
"28","Nebraska",3316,154698000,46648,537160000,393.21,"nebraska"
"29","Nevada",3560,167328000,47007,465440000,210.51,"nevada"
"30","New Hampshire",3901,171257000,43899,454368000,440.82,"new hampshire"
"31","New Jersey",10803,615531000,56976,1689145000,252.45,"new jersey"
"32","New Mexico",3043,114400000,37594,346553000,228.37,"new mexico"
"33","New York",27613,1610362000,58320,4103780000,274.7,"new york"
"34","North Carolina",12409,559344000,45077,2186388000,288.82,"north carolina"
"35","North Dakota",1396,64008000,45840,237005000,432.17,"north dakota"
"36","Ohio",19263,884658000,45924,3122388000,363.28,"ohio"
"37","Oklahoma",3750,193535000,51610,596025000,211.73,"oklahoma"
"38","Oregon",14357,669390000,46623,2021641000,647.62,"oregon"
"39","Pennsylvania",44860,2071311000,46173,6344934000,658.52,"pennsylvania"
"40","Rhode Island",1487,70526000,47434,196088000,243.83,"rhode island"
"41","South Carolina",4862,207906000,42765,780451000,209.42,"south carolina"
"42","South Dakota",1387,61065000,44037,221047000,356.29,"south dakota"
"43","Tennessee",7827,377286000,48206,1259791000,254.02,"tennessee"
"44","Texas",30318,1626705000,53655,5282764000,267.07,"texas"
"45","Utah",2966,130583000,44026,452592000,222.25,"utah"
"46","Vermont",2304,94210000,40897,326357000,681.88,"vermont"
"47","Virginia",11277,534768000,47421,1640674000,261.54,"virginia"
"48","Washington",11877,582131000,49015,1757639000,319.77,"washington"
"49","West Virginia",1903,77936000,40950,309048000,223.89,"west virginia"
"50","Wisconsin",14680,588941000,40118,2255993000,526.79,"wisconsin"
"51","Wyoming",996,44957000,45120,200781000,477.24,"wyoming"
